order,class,phylum,gene,n,n_res,f_res
Saccharofermentanales,Clostridia,Bacillota,gyrA,4,3,0.75
Sedimentisphaerales,Phycisphaerae,Planctomycetota,gyrA,6,5,0.8333333333333334
Selenomonadales,Negativicutes,Bacillota,gyrA,26,0,0
Silvanigrellales,Oligoflexia,Bdellovibrionota_B,gyrA,2,2,1
Sneathiellales,Alphaproteobacteria,Pseudomonadota,gyrA,9,0,0
Solirubrobacterales,Thermoleophilia,Actinomycetota,gyrA,22,9,0.4090909090909091
Sphaerochaetales,Spirochaetia,Spirochaetota,gyrA,8,7,0.875
Sphingobacteriales,Bacteroidia,Bacteroidota,gyrA,282,97,0.34397163120567376
Sphingomonadales,Alphaproteobacteria,Pseudomonadota,gyrA,549,88,0.16029143897996356
Sporichthyales,Actinomycetes,Actinomycetota,gyrA,2,0,0
Sporomusales,Negativicutes,Bacillota,gyrA,17,0,0
Staphylococcales,Bacilli,Bacillota,gyrA,132,13,0.09848484848484848
Steroidobacterales,Gammaproteobacteria,Pseudomonadota,gyrA,9,0,0
Streptomycetales,Actinomycetes,Actinomycetota,gyrA,921,49,0.053203040173724216
Streptosporangiales,Actinomycetes,Actinomycetota,gyrA,256,62,0.2421875
Sulfobacillales,Sulfobacillia,Bacillota,gyrA,2,1,0.5
Symbiobacteriales,Sulfobacillia,Bacillota,gyrA,4,1,0.25
Synechococcales,Cyanobacteriia,Cyanobacteriota,gyrA,4,0,0
Synergistales,Synergistia,Synergistota,gyrA,27,13,0.48148148148148145
Syntrophales,Syntrophia,Desulfobacterota,gyrA,3,3,1
Syntrophobacterales,Syntrophobacteria,Desulfobacterota,gyrA,9,5,0.5555555555555556
Syntrophomonadales,Syntrophomonadia,Bacillota,gyrA,9,7,0.7777777777777778
Syntrophorhabdales,Syntrophorhabdia,Desulfobacterota,gyrA,1,0,0
Tepidibacillales,Bacilli,Bacillota,gyrA,5,3,0.6
Tepidiformales,Dehalococcoidia,Chloroflexota,gyrA,3,0,0
Tepidisphaerales,Phycisphaerae,Planctomycetota,gyrA,2,2,1
Terriglobales,Terriglobia,Acidobacteriota,gyrA,37,3,0.08108108108108109
Thalassobaculales,Alphaproteobacteria,Pseudomonadota,gyrA,7,0,0
Thermacetogeniales,DSM-12270,Bacillota,gyrA,2,1,0.5
Thermaerobacterales,Sulfobacillia,Bacillota,gyrA,4,4,1
Thermicanales,Bacilli,Bacillota,gyrA,3,2,0.6666666666666666
Thermincolales,Thermincolia,Bacillota,gyrA,2,0,0
Thermoactinomycetales,Bacilli,Bacillota,gyrA,45,35,0.7777777777777778
Thermoanaerobacterales,Thermoanaerobacteria,Bacillota,gyrA,19,19,1
Thermoanaerobaculales,Thermoanaerobaculia,Acidobacteriota,gyrA,1,1,1
Thermobaculales,Chloroflexia,Chloroflexota,gyrA,1,0,0
Thermodesulfobacteriales,Thermodesulfobacteria,Desulfobacterota,gyrA,12,9,0.75
Thermodesulfobiales,Thermodesulfobiia,Thermodesulfobiota,gyrA,3,0,0
Thermodesulfovibrionales,Thermodesulfovibrionia,Nitrospirota,gyrA,11,0,0
Thermomicrobiales,Chloroflexia,Chloroflexota,gyrA,5,1,0.2
Thermosediminibacterales,Thermosediminibacteria,Bacillota,gyrA,7,7,1
Thermostichales,Cyanobacteriia,Cyanobacteriota,gyrA,1,0,0
Thermosulfidibacterales,Thermosulfidibacteria,Thermosulfidibacterota,gyrA,1,1,1
Thermosynechococcales,Cyanobacteriia,Cyanobacteriota,gyrA,8,0,0
Thermotogales,Thermotogae,Thermotogota,gyrA,23,19,0.8260869565217391
Thermotomaculales,Holophagae,Acidobacteriota,gyrA,1,0,0
Thiohalomonadales,Gammaproteobacteria,Pseudomonadota,gyrA,2,0,0
Thiohalorhabdales,Gammaproteobacteria,Pseudomonadota,gyrA,2,2,1
Thiohalospirales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Thiomicrospirales,Gammaproteobacteria,Pseudomonadota,gyrA,23,1,0.043478260869565216
Thiotrichales,Gammaproteobacteria,Pseudomonadota,gyrA,17,0,0
Tissierellales,Clostridia,Bacillota,gyrA,126,15,0.11904761904761904
Tistrellales,Alphaproteobacteria,Pseudomonadota,gyrA,3,0,0
Treponematales,Spirochaetia,Spirochaetota,gyrA,30,28,0.9333333333333333
Tumebacillales,Bacilli,Bacillota,gyrA,12,4,0.3333333333333333
Turneriellales,Leptospiria,Spirochaetota,gyrA,1,0,0
UBA10575,UBA4882,Bacillota,gyrA,1,1,1
UBA1135,UBA1135,Planctomycetota,gyrA,3,0,0
UBA1381,Clostridia,Bacillota,gyrA,2,2,1
UBA5335,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
UBA6186,Gammaproteobacteria,Pseudomonadota,gyrA,1,1,1
UBA6429,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
UBA8346,UBA4882,Bacillota,gyrA,1,1,1
UBA8366,Alphaproteobacteria,Pseudomonadota,gyrA,6,0,0
UBA9655,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
UMGS1260,Negativicutes,Bacillota,gyrA,1,0,0
UMGS1810,Clostridia,Bacillota,gyrA,1,1,1
Uabimicrobiales,Uabimicrobiia,Planctomycetota,gyrA,2,2,1
Veillonellales,Negativicutes,Bacillota,gyrA,44,3,0.06818181818181818
Velamenicoccales,Gorgyraeia,Omnitrophota,gyrA,1,1,1
Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,gyrA,34,15,0.4411764705882353
Vicinamibacterales,Vicinamibacteria,Acidobacteriota,gyrA,1,1,1
Victivallales,Lentisphaeria,Verrucomicrobiota,gyrA,2,1,0.5
Vulcanimicrobiales,Vulcanimicrobiia,Vulcanimicrobiota,gyrA,1,0,0
WRBN01,Spirochaetia,Spirochaetota,gyrA,3,3,1
Winmispirales,Spirochaetia,Spirochaetota,gyrA,2,0,0
XJ16,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Xanthomonadales,Gammaproteobacteria,Pseudomonadota,gyrA,379,73,0.19261213720316622
Zavarziniales,Alphaproteobacteria,Pseudomonadota,gyrA,3,0,0
NA,NA,NA,gyrA,1812,498,0.27483443708609273
